,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
3242,Accepted-Wait,complete,Urban-Org line A2,2011-10-25 12:12:06+00:00,Accepted-Wait,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
3243,Accepted-Assigned,complete,Urban-Org line A2,2011-11-28 10:10:24+00:00,Accepted-Assigned,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
3244,Accepted-In Progress,complete,Urban-Org line A2,2012-02-29 13:03:00+00:00,Accepted-In Progress,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
3245,Completed-Closed,complete,Urban-Org line A2,2012-02-29 13:03:01+00:00,Completed-Closed,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
3246,Accepted-In Progress,complete,Jörgen-Org line C,2011-10-25 13:23:06+00:00,Accepted-In Progress,Jörgen,Org line C,1-594666837,Variant 1,1,Fluxicon Disco
3247,Completed-Closed,complete,Jörgen-Org line C,2012-02-28 15:00:13+00:00,Completed-Closed,Jörgen,Org line C,1-594666837,Variant 1,1,Fluxicon Disco
3248,Accepted-In Progress,complete,Per-Org line A2,2011-10-25 13:30:47+00:00,Accepted-In Progress,Per,Org line A2,1-594693527,Variant 1,1,Fluxicon Disco
3249,Completed-Closed,complete,Per-Org line A2,2012-04-20 07:21:40+00:00,Completed-Closed,Per,Org line A2,1-594693527,Variant 1,1,Fluxicon Disco
3250,Accepted-In Progress,complete,Peter-Org line G4,2011-10-25 13:34:02+00:00,Accepted-In Progress,Peter,Org line G4,1-594673056,Variant 1,1,Fluxicon Disco
3251,Completed-Closed,complete,Peter-Org line G4,2012-01-03 15:01:46+00:00,Completed-Closed,Peter,Org line G4,1-594673056,Variant 1,1,Fluxicon Disco
3252,Accepted-Wait,complete,Henrik-Org line C,2011-10-26 08:22:18+00:00,Accepted-Wait,Henrik,Org line C,1-595361681,Variant 15,15,Fluxicon Disco
3253,Completed-Closed,complete,Henrik-Org line C,2012-02-15 16:01:59+00:00,Completed-Closed,Henrik,Org line C,1-595361681,Variant 15,15,Fluxicon Disco
3254,Queued-Awaiting Assignment,complete,Srinivasan-Org line B,2011-10-26 08:56:21+00:00,Queued-Awaiting Assignment,Srinivasan,Org line B,1-595293983,Variant 34,34,Fluxicon Disco
3255,Accepted-In Progress,complete,Rijin-Org line B,2011-10-27 11:50:17+00:00,Accepted-In Progress,Rijin,Org line B,1-595293983,Variant 34,34,Fluxicon Disco
3256,Completed-Closed,complete,Rijin-Org line B,2011-12-30 04:05:05+00:00,Completed-Closed,Rijin,Org line B,1-595293983,Variant 34,34,Fluxicon Disco
3257,Accepted-In Progress,complete,Rijin-Org line B,2011-12-30 04:36:51+00:00,Accepted-In Progress,Rijin,Org line B,1-595293983,Variant 34,34,Fluxicon Disco
3258,Completed-Closed,complete,Rijin-Org line B,2012-01-31 11:56:19+00:00,Completed-Closed,Rijin,Org line B,1-595293983,Variant 34,34,Fluxicon Disco
3259,Accepted-In Progress,complete,Gustav-Org line G4,2011-10-26 15:28:06+00:00,Accepted-In Progress,Gustav,Org line G4,1-595687232,Variant 20,20,Fluxicon Disco
3260,Accepted-In Progress,complete,Gustav-Org line G4,2011-11-01 08:25:19+00:00,Accepted-In Progress,Gustav,Org line G4,1-595687232,Variant 20,20,Fluxicon Disco
3261,Accepted-Assigned,complete,Jonas-Org line G4,2011-11-01 08:26:11+00:00,Accepted-Assigned,Jonas,Org line G4,1-595687232,Variant 20,20,Fluxicon Disco
3262,Accepted-In Progress,complete,Marco-Org line G4,2012-03-23 09:49:00+00:00,Accepted-In Progress,Marco,Org line G4,1-595687232,Variant 20,20,Fluxicon Disco
3263,Completed-Closed,complete,Marco-Org line G4,2012-03-23 09:51:13+00:00,Completed-Closed,Marco,Org line G4,1-595687232,Variant 20,20,Fluxicon Disco
3264,Accepted-In Progress,complete,Christer-Org line G4,2011-10-27 07:39:11+00:00,Accepted-In Progress,Christer,Org line G4,1-596251950,Variant 6,6,Fluxicon Disco
3265,Accepted-Assigned,complete,Christer-Org line G4,2011-10-27 10:37:42+00:00,Accepted-Assigned,Christer,Org line G4,1-596251950,Variant 6,6,Fluxicon Disco
3266,Accepted-In Progress,complete,Christer-Org line G4,2012-03-23 12:52:39+00:00,Accepted-In Progress,Christer,Org line G4,1-596251950,Variant 6,6,Fluxicon Disco
3267,Completed-Closed,complete,Christer-Org line G4,2012-03-23 12:52:47+00:00,Completed-Closed,Christer,Org line G4,1-596251950,Variant 6,6,Fluxicon Disco
3268,Accepted-In Progress,complete,Axel-Org line A2,2011-10-27 08:24:19+00:00,Accepted-In Progress,Axel,Org line A2,1-596290771,Variant 13,13,Fluxicon Disco
3269,Accepted-Assigned,complete,Axel-Org line A2,2011-10-27 08:33:47+00:00,Accepted-Assigned,Axel,Org line A2,1-596290771,Variant 13,13,Fluxicon Disco
3270,Accepted-In Progress,complete,Axel-Org line A2,2011-11-07 15:30:05+00:00,Accepted-In Progress,Axel,Org line A2,1-596290771,Variant 13,13,Fluxicon Disco
3271,Accepted-In Progress,complete,Grzegorz-Org line A2,2012-02-27 06:50:56+00:00,Accepted-In Progress,Grzegorz,Org line A2,1-596290771,Variant 13,13,Fluxicon Disco
3272,Completed-Closed,complete,Grzegorz-Org line A2,2012-04-03 12:17:41+00:00,Completed-Closed,Grzegorz,Org line A2,1-596290771,Variant 13,13,Fluxicon Disco
3273,Accepted-In Progress,complete,Niklas-Org line C,2011-10-27 08:37:38+00:00,Accepted-In Progress,Niklas,Org line C,1-596286562,Variant 1,1,Fluxicon Disco
3274,Completed-Closed,complete,Niklas-Org line C,2012-01-09 07:20:11+00:00,Completed-Closed,Niklas,Org line C,1-596286562,Variant 1,1,Fluxicon Disco
3275,Accepted-In Progress,complete,Martin-Org line C,2011-10-27 09:48:01+00:00,Accepted-In Progress,Martin,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
3276,Queued-Awaiting Assignment,complete,Martin-Org line C,2011-10-27 10:25:19+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
3277,Accepted-In Progress,complete,Claes-Org line C,2011-10-28 09:43:21+00:00,Accepted-In Progress,Claes,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
3278,Accepted-Wait,complete,Claes-Org line C,2011-10-28 09:43:29+00:00,Accepted-Wait,Claes,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
3279,Completed-Closed,complete,Claes-Org line C,2012-01-10 09:10:29+00:00,Completed-Closed,Claes,Org line C,1-596331167,Variant 9,9,Fluxicon Disco
3280,Accepted-In Progress,complete,Mårten-Org line C,2011-10-27 13:27:20+00:00,Accepted-In Progress,Mårten,Org line C,1-596580941,Variant 212,212,Fluxicon Disco
3281,Queued-Awaiting Assignment,complete,Mårten-Org line C,2011-10-28 09:49:21+00:00,Queued-Awaiting Assignment,Mårten,Org line C,1-596580941,Variant 212,212,Fluxicon Disco
3282,Accepted-In Progress,complete,Mica-Org line C,2011-11-01 07:09:03+00:00,Accepted-In Progress,Mica,Org line C,1-596580941,Variant 212,212,Fluxicon Disco
3283,Accepted-In Progress,complete,Björn T-Org line C,2011-11-01 09:57:12+00:00,Accepted-In Progress,Björn T,Org line C,1-596580941,Variant 212,212,Fluxicon Disco
3284,Accepted-Wait,complete,Björn T-Org line C,2011-11-01 09:57:22+00:00,Accepted-Wait,Björn T,Org line C,1-596580941,Variant 212,212,Fluxicon Disco
3285,Completed-Closed,complete,Björn T-Org line C,2012-02-28 08:51:52+00:00,Completed-Closed,Björn T,Org line C,1-596580941,Variant 212,212,Fluxicon Disco
3286,Accepted-In Progress,complete,Tomas-Org line C,2011-10-27 13:32:18+00:00,Accepted-In Progress,Tomas,Org line C,1-596608752,Variant 4,4,Fluxicon Disco
3287,Accepted-In Progress,complete,Tomas-Org line C,2011-10-27 13:33:37+00:00,Accepted-In Progress,Tomas,Org line C,1-596608752,Variant 4,4,Fluxicon Disco
3288,Completed-Closed,complete,Tomas-Org line C,2012-01-30 12:42:26+00:00,Completed-Closed,Tomas,Org line C,1-596608752,Variant 4,4,Fluxicon Disco
3289,Queued-Awaiting Assignment,complete,Ulrika-Org line A2,2011-10-27 15:10:48+00:00,Queued-Awaiting Assignment,Ulrika,Org line A2,1-596676011,Variant 8,8,Fluxicon Disco
3290,Accepted-In Progress,complete,Daniel-Org line A2,2012-04-11 14:46:12+00:00,Accepted-In Progress,Daniel,Org line A2,1-596676011,Variant 8,8,Fluxicon Disco
3291,Completed-Closed,complete,Daniel-Org line A2,2012-04-11 14:46:34+00:00,Completed-Closed,Daniel,Org line A2,1-596676011,Variant 8,8,Fluxicon Disco
3292,Accepted-In Progress,complete,Stephen-Org line A2,2011-10-27 17:26:39+00:00,Accepted-In Progress,Stephen,Org line A2,1-596815491,Variant 1,1,Fluxicon Disco
3293,Completed-Closed,complete,Stephen-Org line A2,2012-01-05 20:08:06+00:00,Completed-Closed,Stephen,Org line A2,1-596815491,Variant 1,1,Fluxicon Disco
3294,Accepted-In Progress,complete,Carolyn-Org line G3,2011-10-28 09:06:29+00:00,Accepted-In Progress,Carolyn,Org line G3,1-597285812,Variant 19,19,Fluxicon Disco
3295,Accepted-In Progress,complete,Carolyn-Org line G3,2011-10-28 10:25:46+00:00,Accepted-In Progress,Carolyn,Org line G3,1-597285812,Variant 19,19,Fluxicon Disco
3296,Accepted-In Progress,complete,Ewa-Org line G3,2011-11-22 12:36:13+00:00,Accepted-In Progress,Ewa,Org line G3,1-597285812,Variant 19,19,Fluxicon Disco
3297,Completed-Closed,complete,Ewa-Org line G3,2012-01-03 12:11:12+00:00,Completed-Closed,Ewa,Org line G3,1-597285812,Variant 19,19,Fluxicon Disco
3298,Accepted-In Progress,complete,Pratap-Org line C,2011-10-28 12:17:58+00:00,Accepted-In Progress,Pratap,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3299,Accepted-In Progress,complete,Pratap-Org line C,2011-10-28 12:27:42+00:00,Accepted-In Progress,Pratap,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3300,Accepted-In Progress,complete,Pratap-Org line C,2011-12-21 11:33:25+00:00,Accepted-In Progress,Pratap,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3301,Accepted-Wait,complete,Pratap-Org line C,2011-12-21 11:33:48+00:00,Accepted-Wait,Pratap,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3302,Queued-Awaiting Assignment,complete,Robert-Org line C,2011-12-30 16:11:45+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3303,Accepted-In Progress,complete,Ramith-Org line C,2012-02-20 03:27:14+00:00,Accepted-In Progress,Ramith,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3304,Completed-Closed,complete,Ramith-Org line C,2012-03-09 12:07:07+00:00,Completed-Closed,Ramith,Org line C,1-597231167,Variant 213,213,Fluxicon Disco
3305,Accepted-In Progress,complete,Edward-Org line C,2011-10-28 14:16:54+00:00,Accepted-In Progress,Edward,Org line C,1-597580752,Variant 47,47,Fluxicon Disco
3306,Accepted-In Progress,complete,Edward-Org line C,2011-10-28 14:23:31+00:00,Accepted-In Progress,Edward,Org line C,1-597580752,Variant 47,47,Fluxicon Disco
3307,Accepted-In Progress,complete,Edward-Org line C,2011-10-28 14:25:32+00:00,Accepted-In Progress,Edward,Org line C,1-597580752,Variant 47,47,Fluxicon Disco
3308,Accepted-Wait,complete,Edward-Org line C,2011-12-08 21:31:10+00:00,Accepted-Wait,Edward,Org line C,1-597580752,Variant 47,47,Fluxicon Disco
3309,Completed-Closed,complete,Edward-Org line C,2012-02-13 14:47:58+00:00,Completed-Closed,Edward,Org line C,1-597580752,Variant 47,47,Fluxicon Disco
3310,Accepted-In Progress,complete,Börje-Org line C,2011-10-28 14:32:35+00:00,Accepted-In Progress,Börje,Org line C,1-597616526,Variant 1,1,Fluxicon Disco
3311,Completed-Closed,complete,Börje-Org line C,2012-01-03 11:19:56+00:00,Completed-Closed,Börje,Org line C,1-597616526,Variant 1,1,Fluxicon Disco
3312,Accepted-In Progress,complete,Marcin-Org line A2,2011-10-31 08:05:05+00:00,Accepted-In Progress,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
3313,Queued-Awaiting Assignment,complete,Marcin-Org line A2,2011-10-31 08:05:35+00:00,Queued-Awaiting Assignment,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
3314,Accepted-In Progress,complete,Marcin-Org line A2,2011-11-04 14:19:35+00:00,Accepted-In Progress,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
3315,Completed-Closed,complete,Marcin-Org line A2,2012-01-18 10:28:06+00:00,Completed-Closed,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
3316,Accepted-In Progress,complete,Robert-Org line C,2011-10-31 16:54:07+00:00,Accepted-In Progress,Robert,Org line C,1-599074651,Variant 4,4,Fluxicon Disco
3317,Accepted-In Progress,complete,Robert-Org line C,2011-10-31 16:56:44+00:00,Accepted-In Progress,Robert,Org line C,1-599074651,Variant 4,4,Fluxicon Disco
3318,Completed-Closed,complete,Robert-Org line C,2012-01-04 13:48:41+00:00,Completed-Closed,Robert,Org line C,1-599074651,Variant 4,4,Fluxicon Disco
3319,Accepted-In Progress,complete,Ann-Charlotte-Org line C,2011-10-31 22:40:16+00:00,Accepted-In Progress,Ann-Charlotte,Org line C,1-599157751,Variant 11,11,Fluxicon Disco
3320,Queued-Awaiting Assignment,complete,Ann-Charlotte-Org line C,2011-10-31 22:48:47+00:00,Queued-Awaiting Assignment,Ann-Charlotte,Org line C,1-599157751,Variant 11,11,Fluxicon Disco
3321,Accepted-In Progress,complete,Marcus-Org line C,2011-11-18 06:31:45+00:00,Accepted-In Progress,Marcus,Org line C,1-599157751,Variant 11,11,Fluxicon Disco
3322,Queued-Awaiting Assignment,complete,Martin-Org line C,2011-11-18 06:34:16+00:00,Queued-Awaiting Assignment,Martin,Org line C,1-599157751,Variant 11,11,Fluxicon Disco
3323,Accepted-In Progress,complete,Lennart-Org line C,2011-11-18 09:43:24+00:00,Accepted-In Progress,Lennart,Org line C,1-599157751,Variant 11,11,Fluxicon Disco
3324,Completed-Closed,complete,Lennart-Org line C,2012-04-11 08:03:56+00:00,Completed-Closed,Lennart,Org line C,1-599157751,Variant 11,11,Fluxicon Disco
3325,Accepted-In Progress,complete,Craig-Org line F,2011-11-01 00:33:07+00:00,Accepted-In Progress,Craig,Org line F,1-599157997,Variant 29,29,Fluxicon Disco
3326,Queued-Awaiting Assignment,complete,Craig-Org line F,2011-11-01 00:36:28+00:00,Queued-Awaiting Assignment,Craig,Org line F,1-599157997,Variant 29,29,Fluxicon Disco
3327,Accepted-In Progress,complete,Lennart-Org line F,2011-11-01 06:56:26+00:00,Accepted-In Progress,Lennart,Org line F,1-599157997,Variant 29,29,Fluxicon Disco
3328,Accepted-Assigned,complete,Johan-Org line F,2011-11-01 06:57:28+00:00,Accepted-Assigned,Johan,Org line F,1-599157997,Variant 29,29,Fluxicon Disco
3329,Accepted-Wait,complete,Johan-Org line F,2012-01-04 11:35:26+00:00,Accepted-Wait,Johan,Org line F,1-599157997,Variant 29,29,Fluxicon Disco
3330,Completed-Closed,complete,Johan-Org line F,2012-01-04 11:35:27+00:00,Completed-Closed,Johan,Org line F,1-599157997,Variant 29,29,Fluxicon Disco
3331,Accepted-In Progress,complete,Craig-Org line F,2011-11-01 00:38:21+00:00,Accepted-In Progress,Craig,Org line F,1-599158067,Variant 28,28,Fluxicon Disco
3332,Queued-Awaiting Assignment,complete,Craig-Org line F,2011-11-01 00:42:00+00:00,Queued-Awaiting Assignment,Craig,Org line F,1-599158067,Variant 28,28,Fluxicon Disco
3333,Accepted-In Progress,complete,Lennart-Org line F,2011-11-01 06:57:38+00:00,Accepted-In Progress,Lennart,Org line F,1-599158067,Variant 28,28,Fluxicon Disco
3334,Accepted-Assigned,complete,Johan-Org line F,2011-11-01 08:18:38+00:00,Accepted-Assigned,Johan,Org line F,1-599158067,Variant 28,28,Fluxicon Disco
3335,Completed-Closed,complete,Johan-Org line F,2012-01-04 11:36:05+00:00,Completed-Closed,Johan,Org line F,1-599158067,Variant 28,28,Fluxicon Disco
3336,Accepted-In Progress,complete,Niklas-Org line C,2011-11-01 07:23:43+00:00,Accepted-In Progress,Niklas,Org line C,1-599352141,Variant 1,1,Fluxicon Disco
3337,Completed-Closed,complete,Niklas-Org line C,2012-01-09 07:19:48+00:00,Completed-Closed,Niklas,Org line C,1-599352141,Variant 1,1,Fluxicon Disco
3338,Accepted-In Progress,complete,Ove-Org line A2,2011-11-01 12:35:50+00:00,Accepted-In Progress,Ove,Org line A2,1-599517681,Variant 6,6,Fluxicon Disco
3339,Accepted-Assigned,complete,Ove-Org line A2,2011-11-07 12:11:29+00:00,Accepted-Assigned,Ove,Org line A2,1-599517681,Variant 6,6,Fluxicon Disco
3340,Accepted-In Progress,complete,Marie-Org line A2,2012-01-09 13:01:54+00:00,Accepted-In Progress,Marie,Org line A2,1-599517681,Variant 6,6,Fluxicon Disco
3341,Completed-Closed,complete,Marie-Org line A2,2012-01-09 13:02:05+00:00,Completed-Closed,Marie,Org line A2,1-599517681,Variant 6,6,Fluxicon Disco
3342,Accepted-In Progress,complete,Carolyn-Org line G3,2011-11-01 14:05:49+00:00,Accepted-In Progress,Carolyn,Org line G3,1-599586617,Variant 5,5,Fluxicon Disco
3343,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-11-01 15:23:53+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-599586617,Variant 5,5,Fluxicon Disco
3344,Accepted-In Progress,complete,Ewa-Org line G3,2012-01-09 12:20:00+00:00,Accepted-In Progress,Ewa,Org line G3,1-599586617,Variant 5,5,Fluxicon Disco
3345,Completed-Closed,complete,Ewa-Org line G3,2012-01-30 11:29:11+00:00,Completed-Closed,Ewa,Org line G3,1-599586617,Variant 5,5,Fluxicon Disco
3346,Queued-Awaiting Assignment,complete,Robert-Org line C,2011-11-01 15:12:37+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-599626401,Variant 214,214,Fluxicon Disco
3347,Accepted-Assigned,complete,Joshua-Org line C,2011-11-07 07:23:28+00:00,Accepted-Assigned,Joshua,Org line C,1-599626401,Variant 214,214,Fluxicon Disco
3348,Accepted-In Progress,complete,Robert-Org line C,2012-01-06 17:54:50+00:00,Accepted-In Progress,Robert,Org line C,1-599626401,Variant 214,214,Fluxicon Disco
3349,Completed-Closed,complete,Robert-Org line C,2012-01-06 17:56:19+00:00,Completed-Closed,Robert,Org line C,1-599626401,Variant 214,214,Fluxicon Disco
3350,Accepted-In Progress,complete,Andreas-Org line G4,2011-11-02 08:00:44+00:00,Accepted-In Progress,Andreas,Org line G4,1-600432558,Variant 6,6,Fluxicon Disco
3351,Accepted-Assigned,complete,Andreas-Org line G4,2011-11-02 08:03:13+00:00,Accepted-Assigned,Andreas,Org line G4,1-600432558,Variant 6,6,Fluxicon Disco
3352,Accepted-In Progress,complete,Gustav-Org line G4,2011-11-21 13:52:20+00:00,Accepted-In Progress,Gustav,Org line G4,1-600432558,Variant 6,6,Fluxicon Disco
3353,Completed-Closed,complete,Gustav-Org line G4,2012-01-30 12:43:57+00:00,Completed-Closed,Gustav,Org line G4,1-600432558,Variant 6,6,Fluxicon Disco
3354,Accepted-In Progress,complete,Ann-Charlotte-Org line C,2011-11-02 09:38:33+00:00,Accepted-In Progress,Ann-Charlotte,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3355,Queued-Awaiting Assignment,complete,Ann-Charlotte-Org line C,2011-11-02 09:49:55+00:00,Queued-Awaiting Assignment,Ann-Charlotte,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3356,Accepted-In Progress,complete,Anders-Org line C,2011-11-16 08:54:15+00:00,Accepted-In Progress,Anders,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3357,Queued-Awaiting Assignment,complete,Peter-Org line C,2011-11-16 09:49:09+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3358,Queued-Awaiting Assignment,complete,Mica-Org line C,2011-11-16 09:54:37+00:00,Queued-Awaiting Assignment,Mica,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3359,Accepted-In Progress,complete,Mica-Org line C,2011-11-17 06:43:46+00:00,Accepted-In Progress,Mica,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3360,Accepted-In Progress,complete,Mårten-Org line C,2011-11-17 08:13:49+00:00,Accepted-In Progress,Mårten,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3361,Queued-Awaiting Assignment,complete,Peter-Org line C,2011-11-17 08:17:35+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3362,Accepted-Assigned,complete,Magnus-Org line C,2011-11-17 08:18:13+00:00,Accepted-Assigned,Magnus,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3363,Queued-Awaiting Assignment,complete,Mica-Org line C,2011-11-17 13:29:20+00:00,Queued-Awaiting Assignment,Mica,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3364,Accepted-In Progress,complete,Erik-Org line C,2011-11-17 13:46:54+00:00,Accepted-In Progress,Erik,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3365,Accepted-In Progress,complete,Vikingur-Org line C,2011-11-23 08:06:21+00:00,Accepted-In Progress,Vikingur,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3366,Queued-Awaiting Assignment,complete,Mica-Org line C,2011-12-06 13:41:54+00:00,Queued-Awaiting Assignment,Mica,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3367,Accepted-In Progress,complete,Vikingur-Org line C,2011-12-06 13:42:41+00:00,Accepted-In Progress,Vikingur,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3368,Completed-Closed,complete,Vikingur-Org line C,2012-01-27 13:40:19+00:00,Completed-Closed,Vikingur,Org line C,1-600506847,Variant 215,215,Fluxicon Disco
3369,Accepted-In Progress,complete,Börje-Org line C,2011-11-02 12:11:01+00:00,Accepted-In Progress,Börje,Org line C,1-600663061,Variant 5,5,Fluxicon Disco
3370,Queued-Awaiting Assignment,complete,Börje-Org line C,2011-11-02 12:11:07+00:00,Queued-Awaiting Assignment,Börje,Org line C,1-600663061,Variant 5,5,Fluxicon Disco
3371,Accepted-In Progress,complete,Börje-Org line C,2011-11-09 12:36:53+00:00,Accepted-In Progress,Börje,Org line C,1-600663061,Variant 5,5,Fluxicon Disco
3372,Completed-Closed,complete,Börje-Org line C,2012-01-03 10:03:09+00:00,Completed-Closed,Börje,Org line C,1-600663061,Variant 5,5,Fluxicon Disco
3373,Accepted-In Progress,complete,Aparna-Org line A2,2011-11-02 18:58:55+00:00,Accepted-In Progress,Aparna,Org line A2,1-600873076,Variant 1,1,Fluxicon Disco
3374,Completed-Closed,complete,Aparna-Org line A2,2012-01-26 10:00:39+00:00,Completed-Closed,Aparna,Org line A2,1-600873076,Variant 1,1,Fluxicon Disco
3375,Accepted-In Progress,complete,Saikat-Org line A2,2011-11-03 04:42:43+00:00,Accepted-In Progress,Saikat,Org line A2,1-601289432,Variant 6,6,Fluxicon Disco
3376,Accepted-Assigned,complete,Saikat-Org line A2,2012-01-18 10:55:47+00:00,Accepted-Assigned,Saikat,Org line A2,1-601289432,Variant 6,6,Fluxicon Disco
3377,Accepted-In Progress,complete,Saikat-Org line A2,2012-02-22 06:10:05+00:00,Accepted-In Progress,Saikat,Org line A2,1-601289432,Variant 6,6,Fluxicon Disco
3378,Completed-Closed,complete,Saikat-Org line A2,2012-02-22 06:11:43+00:00,Completed-Closed,Saikat,Org line A2,1-601289432,Variant 6,6,Fluxicon Disco
3379,Accepted-In Progress,complete,Sandra-Org line C,2011-11-03 08:48:02+00:00,Accepted-In Progress,Sandra,Org line C,1-601400851,Variant 11,11,Fluxicon Disco
3380,Queued-Awaiting Assignment,complete,Sandra-Org line C,2011-12-07 14:01:12+00:00,Queued-Awaiting Assignment,Sandra,Org line C,1-601400851,Variant 11,11,Fluxicon Disco
3381,Accepted-In Progress,complete,Andrzej-Org line A2,2011-12-07 14:01:20+00:00,Accepted-In Progress,Andrzej,Org line A2,1-601400851,Variant 11,11,Fluxicon Disco
3382,Queued-Awaiting Assignment,complete,Cyril-Org line C,2011-12-07 14:04:17+00:00,Queued-Awaiting Assignment,Cyril,Org line C,1-601400851,Variant 11,11,Fluxicon Disco
3383,Accepted-In Progress,complete,Cyril-Org line C,2012-01-10 15:27:44+00:00,Accepted-In Progress,Cyril,Org line C,1-601400851,Variant 11,11,Fluxicon Disco
3384,Completed-Closed,complete,Cyril-Org line C,2012-01-10 15:29:11+00:00,Completed-Closed,Cyril,Org line C,1-601400851,Variant 11,11,Fluxicon Disco
3385,Accepted-In Progress,complete,Peter-Org line C,2011-11-03 09:02:34+00:00,Accepted-In Progress,Peter,Org line C,1-601433623,Variant 1,1,Fluxicon Disco
3386,Completed-Closed,complete,Peter-Org line C,2012-01-12 10:06:35+00:00,Completed-Closed,Peter,Org line C,1-601433623,Variant 1,1,Fluxicon Disco
3387,Accepted-In Progress,complete,Ewa-Org line G3,2011-11-03 12:23:28+00:00,Accepted-In Progress,Ewa,Org line G3,1-601636752,Variant 1,1,Fluxicon Disco
3388,Completed-Closed,complete,Ewa-Org line G3,2012-01-03 08:32:27+00:00,Completed-Closed,Ewa,Org line G3,1-601636752,Variant 1,1,Fluxicon Disco
3389,Accepted-In Progress,complete,Daniel-Org line C,2011-11-03 17:45:21+00:00,Accepted-In Progress,Daniel,Org line C,1-601819090,Variant 20,20,Fluxicon Disco
3390,Accepted-In Progress,complete,Daniel-Org line C,2012-02-02 11:18:05+00:00,Accepted-In Progress,Daniel,Org line C,1-601819090,Variant 20,20,Fluxicon Disco
3391,Accepted-Assigned,complete,Rajesh Kumar-Org line C,2012-02-02 11:18:31+00:00,Accepted-Assigned,Rajesh Kumar,Org line C,1-601819090,Variant 20,20,Fluxicon Disco
3392,Accepted-In Progress,complete,Andres-Org line C,2012-03-08 12:58:03+00:00,Accepted-In Progress,Andres,Org line C,1-601819090,Variant 20,20,Fluxicon Disco
3393,Completed-Closed,complete,Andres-Org line C,2012-03-08 12:58:40+00:00,Completed-Closed,Andres,Org line C,1-601819090,Variant 20,20,Fluxicon Disco
3394,Accepted-In Progress,complete,Marcin-Org line A2,2011-11-04 07:40:13+00:00,Accepted-In Progress,Marcin,Org line A2,1-602316021,Variant 7,7,Fluxicon Disco
3395,Accepted-Wait,complete,Marcin-Org line A2,2011-11-04 07:40:22+00:00,Accepted-Wait,Marcin,Org line A2,1-602316021,Variant 7,7,Fluxicon Disco
3396,Accepted-In Progress,complete,Marcin-Org line A2,2012-01-03 07:04:51+00:00,Accepted-In Progress,Marcin,Org line A2,1-602316021,Variant 7,7,Fluxicon Disco
3397,Completed-Closed,complete,Marcin-Org line A2,2012-02-10 07:08:31+00:00,Completed-Closed,Marcin,Org line A2,1-602316021,Variant 7,7,Fluxicon Disco
3398,Accepted-In Progress,complete,Marcin-Org line A2,2011-11-04 07:41:14+00:00,Accepted-In Progress,Marcin,Org line A2,1-602316067,Variant 7,7,Fluxicon Disco
3399,Accepted-Wait,complete,Marcin-Org line A2,2011-11-04 07:43:29+00:00,Accepted-Wait,Marcin,Org line A2,1-602316067,Variant 7,7,Fluxicon Disco
3400,Accepted-In Progress,complete,Marcin-Org line A2,2012-01-03 07:07:05+00:00,Accepted-In Progress,Marcin,Org line A2,1-602316067,Variant 7,7,Fluxicon Disco
